scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,sp_path
heads,train,seq-02,heads/seq-02/frame-000000.color.png,0.0957296,-0.0410820999999999,0.1324871,0.996129,-0.082498,0.0263684,-0.0150289,heads_seq-02_frame-000000.color_sp.pth
heads,train,seq-02,heads/seq-02/frame-000001.color.png,0.0962454,-0.0414636999999999,0.1316716,0.996255,-0.0812886,0.0260122,-0.0138364,heads_seq-02_frame-000001.color_sp.pth
heads,train,seq-02,heads/seq-02/frame-000002.color.png,0.095965,-0.0424779,0.1306571,0.9963054,-0.0806866,0.0264873,-0.0127894999999999,heads_seq-02_frame-000002.color_sp.pth
heads,train,seq-02,heads/seq-02/frame-000003.color.png,0.0954895,-0.0432784,0.129332,0.9964048,-0.0792678,0.0270606,-0.0127217,heads_seq-02_frame-000003.color_sp.pth
heads,train,seq-02,heads/seq-02/frame-000004.color.png,0.0959595,-0.0437774,0.1279806,0.9964397,-0.0779661999999999,0.0286793,-0.0143751,heads_seq-02_frame-000004.color_sp.pth
heads,train,seq-02,heads/seq-02/frame-000005.color.png,0.0959508,-0.0451481,0.1268104,0.9963808,-0.0770362,0.0312475,-0.0177278,heads_seq-02_frame-000005.color_sp.pth
heads,train,seq-02,heads/seq-02/frame-000006.color.png,0.0970526,-0.0472695,0.1254234,0.9963869,-0.0752768,0.0336392,-0.0203718,heads_seq-02_frame-000006.color_sp.pth
heads,train,seq-02,heads/seq-02/frame-000007.color.png,0.0967133,-0.0494818,0.1237513,0.996607,-0.0715609,0.0347009,-0.0211985999999999,heads_seq-02_frame-000007.color_sp.pth
heads,train,seq-02,heads/seq-02/frame-000008.color.png,0.0966795,-0.0509366999999999,0.1218889,0.9970357,-0.0661395,0.0329215,-0.0214847,heads_seq-02_frame-000008.color_sp.pth
heads,train,seq-02,heads/seq-02/frame-000009.color.png,0.0971453999999999,-0.0507547,0.1204742999999999,0.9974068,-0.0610751999999999,0.0309899999999999,-0.0221173,heads_seq-02_frame-000009.color_sp.pth
heads,train,seq-02,heads/seq-02/frame-000010.color.png,0.0967739,-0.0513595,0.1195035,0.9974706,-0.0591299,0.0317070999999999,-0.023467,heads_seq-02_frame-000010.color_sp.pth
heads,train,seq-02,heads/seq-02/frame-000011.color.png,0.0969875,-0.0513959,0.1195149,0.9974723,-0.0591506,0.0316845,-0.0233752999999999,heads_seq-02_frame-000011.color_sp.pth
